StationCode,UniqueCode,Area,atmosphere_tcc,surface_hpbl,surface_sp,surface_SUNSD,surface_t,surface_prate,surface_gust,highCloudLayer_hcc,middleCloudLayer_mcc,lowCloudLayer_lcc,isobaric_850_u,isobaric_850_v,isobaric_700_u,isobaric_700_v,isobaric_500_gh,isobaric_500_u,isobaric_500_v
3452A,441300915,惠州市,95.75743222932813,480.5795442700955,100635.23055234374,3837.8465500000043,289.25448031143185,1.3192109792744646e-06,5.840509805319309,0.0,2.525337500000016,95.75743222932813,-0.9099890724921296,-2.5455779389077464,6.180445227675433,2.6225023938041923,5850.402913037109,17.056503016967767,6.78146795702458
3453A,441723001,阳江市,99.99343826668739,371.8531088661193,101250.40879683594,1239.3012850000055,288.45987532302854,7.765310089860179e-07,5.7707665610939305,0.0043745000651861255,2.937476832393996,99.99343826668739,-1.8534349029235564,-2.2291866481371216,6.223667951674461,2.5922589186377802,5856.181102959595,16.4060818919754,3.5577352292369318
3454A,442000915,中山市,99.79729747550049,484.33147626186576,101832.0418048125,2765.9706927999996,289.85399348916013,1.6087046518324297e-06,8.422073656192016,0.13513536201367296,0.0,99.79729747550049,-1.367888067394396,-1.8384115029428483,6.380128013983918,1.860983021014787,5850.490897632031,17.360172159770208,4.858067271450047
3455A,441800915,清远市,99.9781179965271,447.9408050891842,100475.37194719377,598.910735999981,282.54862444138183,3.4755312217122735e-06,6.593651197696319,0.0,7.833727101069285,99.9781179965271,-0.002531022856755605,-3.2444292517815607,8.284001456284324,1.3038407726660817,5833.470169194141,21.35962226931,5.119566417122266
3456A,130100100,石家庄市,0.0,11.757160457205236,98347.29680031718,1875.6439668,266.54959452732544,0.0,0.9761134166077636,0.0,0.0,0.0,4.2400355126400955,-2.675569364013719,12.381054255862999,-5.073899653266146,5522.145554685937,26.715335519877225,-9.6373099293929
3457A,130200056,唐山市,0.0,343.86743851696787,103038.02376513016,2682.2541331400002,277.2219493987182,0.0,5.114987293725657,0.0,0.0,0.0,7.909797253777803,-5.640508022847312,13.989642045386432,-5.944374909990181,5457.481443730322,26.575520844877012,-5.922343810011759
3458A,130400100,邯郸市,0.04407000065669414,15.31824604173486,101642.15894217229,2261.478544950001,270.27934310955504,0.0,1.2018491252394699,0.0,0.0,0.04407000065669414,3.3544726054456047,-1.8452150046006197,11.783711884071925,-2.2672028984879495,5565.31111841228,26.43574528843213,-10.833180194851682
3459A,131100100,衡水市,0.0,9.79713085706438,103033.76656402023,2305.95442862,268.43618619320495,0.0,0.8981745447960618,0.0,0.0,0.0,5.151272404855266,-2.0328053106896307,13.248204913967532,-4.012791816308785,5527.915741893862,27.96524623879188,-7.963025648122749
3460A,120000311,天津市,0.0,28.541049003739204,102240.99937608733,2306.9696652499997,264.6998021384332,0.0,2.2814661421188003,0.0,0.0,0.0,9.873143326093274,-5.992943786501067,13.303142916148703,-6.741888212469402,5447.6285020384275,21.528704453812544,-6.946995801165907
3461A,120000312,天津市,0.0,69.08924707814171,102910.6754574375,2350.166927850001,267.1247308267273,0.0,2.6230919113880216,0.0,0.0,0.0,8.408259917594762,-4.58005975366411,13.121147149941446,-6.273899848817781,5456.8077004927245,21.8414501883421,-6.739952460882973
3462A,120000314,天津市,0.0,250.7117077246544,102994.99557195,2527.379096430001,274.30803336907843,0.0,3.9993426992894534,0.0,0.0,0.0,7.623707557734152,-4.752374190111066,13.258742498531916,-5.78319635183259,5460.583581821376,24.274952261945547,-6.470983240513261
3463A,341300524,宿州市,9.613650884555817,107.7729639201185,102852.33254628125,3212.930770799999,275.06196212390137,0.0,2.392013097780224,6.28696818690948,4.029423061702526,5.164810630888383,-0.3468778418748335,-2.0252756338798514,5.411166232675837,-2.7015148376330362,5631.782250131055,20.203494213384243,-3.5723509018233317
3464A,340100301,合肥市,87.24610922500011,317.53990659057547,102720.79360973039,3265.045798080001,277.77381092039184,3.1850301905278638e-06,2.9514653195375673,16.663761475206243,47.61626207377938,80.28890102500002,-5.891407262100672,-2.0718531856985485,6.987110291016617,-2.7788274656893948,5670.005168376274,26.7844930020711,-6.813433290459102
3465A,340200447,芜湖市,100.0,671.3690537842173,102676.90317280858,1240.6467607500058,277.95296889437867,3.078817457102916e-05,5.96515336659324,9.744252284495964,77.94375872331443,96.63374499999998,-5.4515078283524545,-1.520385258520056,7.955726861927981,0.48435164646815254,5686.062001373779,24.113745546048175,-6.611872495339279
3466A,340200448,芜湖市,100.0,703.350814396795,102641.58344130561,885.0062957200059,277.85354405337404,3.5185904106189765e-05,5.933061201671239,9.797302419274597,84.6056203643732,96.62543920000002,-5.694393703403082,-1.3586748112816274,7.526724598491379,0.44623236192038296,5688.523651678789,24.46810926669966,-8.01123565471136
3468A,341200201,阜阳市,21.176606895203214,110.77131213103553,102989.16032316555,3096.381236339999,275.60676623105195,3.184884730340088e-07,2.3929150855081383,16.878487287404745,0.6935000000000002,16.54911683241777,-3.5977530805021,-1.6306976017224297,2.7235984636389983,-3.07457531678197,5649.683414774756,19.636777158969284,-7.6464234201487935
3469A,341200202,阜阳市,22.124017864963506,100.82146208733465,103016.58628128438,3101.793578399999,275.57823069346927,1.9660287065009396e-07,2.2892578488555846,18.902603427146154,0.4084999999999894,16.90366514640195,-3.3604319038516914,-1.6489103587986005,2.5261454189232744,-2.9307072421154006,5648.212344634766,19.318001480187213,-7.379379249789045
3470A,341800601,宣城市,100.0,739.009885712273,102104.65259154345,0.0,277.86254316081664,4.36054304652269e-05,5.666740116632189,0.5617327419205462,49.77544764349524,100.0,-4.61329111391642,-0.5335393441284796,9.58915802832928,2.332115467789502,5697.141835094843,22.0713177180326,-5.84565943177561
3471A,410100012,郑州市,8.852517349631126,58.58661251329058,102142.30973857113,2239.59094523907,272.58213883866244,0.0,3.1643179869782365,0.0,0.0,8.852517349631126,3.0822352538812723,-1.4628790619505598,8.097740448112296,-1.4390255716804576,5617.38264915798,20.555672937433265,-10.739614007514314
3473A,410200075,开封市,14.75751471410186,56.85658708211406,102420.1034961922,2383.8935738000023,272.70648384978944,0.0,2.88447475107038,0.0,1.0320205000000253,14.75751471410186,4.584288675886617,-1.292461745942726,8.03601222427424,-1.803496674495777,5614.512691243653,20.836105454322052,-10.533659515056835
3474A,410600404,鹤壁市,5.46735903494867,27.792937719693153,100804.61783638704,2261.301114340001,271.7140256994556,0.0,1.5116982779162185,0.0,0.4158413000000053,5.46735903494867,2.6722420900885995,-0.5961734508155733,10.71003119963963,-1.64827246425492,5593.020692431025,23.279238022429553,-11.742113114012543
3475A,410700405,新乡市,8.106460218532527,42.17432361792305,101128.10195108128,2232.972796800001,272.0934876279541,0.0,2.198144818835845,0.0,0.0,8.106460218532527,3.9097880642116225,-1.4147617944033646,9.648397377653879,-1.4666692395795833,5604.764939525977,21.84761867085151,-11.489314376165005
3476A,410700406,新乡市,7.760632524022258,40.8898373811448,101009.39774755,2228.2064928,272.05292410610355,0.0,2.1305518160594037,0.0,0.0,7.760632524022258,3.8073022477417053,-1.3824746586959862,9.724980741688533,-1.4686899801916116,5604.067237755468,21.933817380383296,-11.527383455041502
3477A,410800063,焦作市,4.6242945124965456,53.78624938820535,99567.18334905748,2094.046566719999,271.97213979446775,0.0,3.0362959534611624,0.0,0.0,4.6242945124965456,1.1458626581875726,-1.4946463823884222,9.1666144943393,-1.2389326959572404,5611.344138277188,21.295445704165196,-11.253244258553163
3478A,411100105,漯河市,5.0,37.839831549096125,102459.10893483751,2515.4123668800007,273.39311316008786,0.0,1.9233452778721412,0.0,0.0,5.0,0.4078750371548119,-0.8098807535244122,3.5750920617179887,-2.89955180864578,5642.716108733828,19.08744886628845,-10.051978226542351
3479A,411100106,漯河市,5.0,39.427925176347436,102526.27926512984,2540.756211839999,273.4531867195154,0.0,1.9705958855259067,0.0,0.0,5.0,0.47007951500804834,-0.8931717218755635,3.6476640974561256,-2.8895886399866586,5641.672705717285,19.0398872049226,-9.827817595377606
3480A,230700057,伊春市,10.689948451457285,193.3815663488617,97071.74263585937,3551.7808161599983,251.9782095465405,1.2371382544573263e-07,6.361210116858329,0.0,0.10534147618588928,10.584606996200865,14.173005646918117,-2.309155043721874,11.989877891732496,-8.301893944354138,5205.222430555274,9.555831492068167,-8.761682557546651
3481A,230600083,大庆市,4.161933225061421,118.97071151980614,100562.888891875,2824.1697000000013,252.1491756322937,0.0,7.714769621898658,0.0,0.0,4.161933225061421,10.137500486200334,-3.6561852272672586,8.078256314549458,-5.741083015301696,5246.451721573242,7.035904348151209,-6.026745679548266
3482A,500000250,重庆市,96.96862259540217,192.16266775741474,93129.43693321603,993.9940820299942,277.73633697486025,8.293874548301992e-06,0.6884627265351071,0.0,0.0,96.96862259540217,0.7090912284506402,-0.33206078112425286,-1.7395405181524322,-0.4138117965856132,5754.313251112295,14.663833958220765,-8.74009130197731
3483A,500000230,重庆市,94.38733715917112,222.23887469869484,92899.96629265313,837.3545367200036,276.0073603171753,4.818455936515458e-06,0.8392974301487672,0.0,29.815079799999758,94.38733715917112,0.1449652712286147,-0.9909371184128578,-0.5784305780355617,-1.3868313376674342,5748.061211312031,15.139342183028944,-3.483122039158058
3484A,500000116,重庆市,91.19470587268064,62.46508288964829,97971.359018375,932.8465120000013,280.10841761230466,8.157312017647154e-07,0.913977378212929,0.0,0.0,91.19470587268064,1.8661100973148361,0.5583514574017534,-1.5076004897747013,0.7204137661705015,5756.846844132812,14.515188780410769,-9.422340581642153
3485A,500000223,重庆市,99.73881310996094,157.4182045762105,93556.76850354999,250.6494220799918,278.2063885444922,4.13911811120455e-06,0.7144783488610837,0.0,0.0,99.73881310996094,0.865342599242402,-0.003171465425945527,-2.7290947147250484,1.0369791518433917,5758.88456726625,13.505479392360826,-7.881988196866442
3486A,220303001,四平市,0.0,314.2694435430194,100573.1397006664,3394.8026412000013,260.7225723883728,0.0,8.249963256054881,0.0,0.0,0.0,13.362950783816919,0.13597854786181962,13.952304027613645,-4.740233474831175,5313.515371248975,22.06544545757218,-4.416730789457368
3487A,510100065,成都市,5.145895231018258,10.111627129137077,97000.70518039625,608.913778840001,276.82990278058594,0.0,0.6897391617383015,0.0,0.0,5.145895231018258,0.9091586451496532,0.35604352709286125,2.1634398411260474,2.0098790750770643,5748.454791369268,12.694476950254327,-3.707016920329769
3488A,510100066,成都市,5.190844365721989,10.110512951799642,96985.6034161225,618.2231154600001,276.7199398910693,0.0,0.6366827250079652,0.0,0.0,5.190844365721989,0.7587133144335456,0.2622101118179828,2.195560343939146,2.486076138641941,5745.404850774996,12.412919079642505,-3.56707341911893
3489A,510100067,成都市,5.075208733897783,10.106403836518401,96959.46857525126,582.3413315200013,276.8481058887549,0.0,0.7780351217329355,0.0,0.0,5.075208733897783,0.9931935785999534,0.5816872012198906,2.1997257314653536,1.7781009890544013,5750.512785359023,12.613697796234746,-3.500240625183691
